rsi_p,fast_p,slow_p,k_p,d_p,avg_sharpe,avg_return,avg_calmar,avg_maxdd,avg_win_rate,avg_trades,n_stocks
4,20,35,22,36,0.6463599258644251,3.3211576289526143,0.33182052782178334,-0.3885830035834324,0.6203952519386868,51.77777777777778,9
4,20,35,22,44,0.7051969205929207,4.5503394531881085,0.3528209814294565,-0.40845166883840833,0.6344840342625617,47.22222222222222,9
4,20,40,8,20,0.5189253299389642,2.640548212430842,0.23102505429253542,-0.44892099789739653,0.5963659002947352,66.66666666666667,9
4,20,40,8,28,0.5459765023036124,3.1404332548858425,0.2775416062636272,-0.43776381997805314,0.5751602044232818,61.333333333333336,9
4,20,40,8,36,0.5486630488310782,2.872803776392604,0.28213234211905747,-0.41682262033163503,0.5643228574882075,58.111111111111114,9
4,20,40,8,44,0.5800183840831081,3.7888895280680157,0.307053185611353,-0.41477714059797766,0.5656139242492252,56.22222222222222,9
4,20,40,10,20,0.5244757380591332,4.854626968798482,0.2664972547323247,-0.4303132068622497,0.5883451384850639,65.22222222222223,9
4,20,40,10,28,0.5452166642462452,3.7126307535231993,0.26885961806036973,-0.42155697159630956,0.5672945422828893,59.77777777777778,9
4,20,40,10,36,0.5682513734692654,3.4721297651422276,0.30156188251320865,-0.40233129637325793,0.5835131564063541,56.333333333333336,9
4,20,40,10,44,0.5511656185991596,3.5140975117906095,0.2860332118147603,-0.4006585744234455,0.5695371857740831,53.888888888888886,9
4,20,40,14,20,0.5157898881008859,2.982804984032047,0.24736954746041087,-0.4343491688002232,0.5673972786049466,62.111111111111114,9
4,20,40,14,28,0.5447357536723832,3.6209692622431393,0.2855959025706917,-0.41191172902178175,0.5955359066787816,57.22222222222222,9
4,20,40,14,36,0.5410133683972826,3.5458161924133837,0.2845103218678592,-0.4072362338628296,0.5767241203796428,53.77777777777778,9
4,20,40,14,44,0.6075833745767761,3.0702049792901875,0.3050133005210893,-0.3967363611838002,0.606994595686337,50.0,9
4,20,40,18,20,0.551131671334837,3.517728559075566,0.28532385998965926,-0.4103648311233151,0.6209758691356527,59.333333333333336,9
4,20,40,18,28,0.549736276920685,3.907540739448308,0.27971558441667643,-0.4038307248999107,0.5972090155414806,55.111111111111114,9
4,20,40,18,36,0.6140930215928143,3.2711078366774538,0.3176153811616441,-0.3834291114838229,0.5935087316948741,52.111111111111114,9
4,20,40,18,44,0.7132661389506266,5.161127366143203,0.3628437624735045,-0.4079451053960215,0.6267136339237788,47.0,9
4,20,40,22,20,0.5456684258855531,3.630454575483317,0.2726291753455041,-0.4153981344326121,0.5932630110286897,55.55555555555556,9
4,20,40,22,28,0.6039481990819985,2.8732663682303006,0.2894695299524106,-0.4085337894816192,0.6131001834696143,52.333333333333336,9
4,20,40,22,36,0.7058424251706401,4.29380767785268,0.37456909695454194,-0.38553368380964725,0.6376727808675806,48.111111111111114,9
4,20,40,22,44,0.7230088403305297,5.0505276992474615,0.3956642912660784,-0.3774626168383387,0.6319333562499237,44.22222222222222,9
4,20,50,8,20,0.5697338306931998,4.881556457231704,0.26949353203002635,-0.45094539246227366,0.5744409696797198,60.666666666666664,9
4,20,50,8,28,0.6087106926079403,5.590853511517246,0.3496570882212351,-0.3864750790715783,0.5825465042037546,56.44444444444444,9
4,20,50,8,36,0.5923917049418447,4.319219378747892,0.32651448726009974,-0.3796839461809568,0.568443500695804,51.666666666666664,9
4,20,50,8,44,0.6059071502543313,4.629884234549092,0.33596755457669353,-0.37760692754191966,0.5746326200333151,48.666666666666664,9
4,20,50,10,20,0.6102894418539122,4.969339696211741,0.335939344172876,-0.3992780755272838,0.5834344899162134,58.888888888888886,9
4,20,50,10,28,0.5758984355798594,4.003819126275477,0.32224373867702266,-0.4006553896518954,0.5809901589487052,54.0,9
4,20,50,10,36,0.5398401279919657,3.0117760997787335,0.29821180028829963,-0.3796882851898724,0.5746649390798326,50.111111111111114,9
4,20,50,10,44,0.6049795961839012,4.456164777132925,0.3282081042544815,-0.3777665826219609,0.5902588028334628,46.111111111111114,9
